evaluation_id,run_id,run_mode,candidate_group_id,schema_class_id,candidate_id,instance_id,arm_id,schema_seed,seed_bundle_id,training_replicate_index,episode_index,controller_event_index,active_tier,abstract_action,realized_action,candidate_count,success,failure_reason,fiber_departure_reason,liftability_semantics_id,representative_candidate_count,pointwise_candidate_count,selected_lift_index,selected_lift_source_matches_current,selected_lift_target_repr,quotient_action_cell_count,pointwise_executable_action_cell_count
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,4,4,"ActionCellId(tier=4, ordinal=234966)","(-1, -1, -2)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(59, 63, 66), beat_index=1), identity=('counterpoint_symbolic_v001_state', (59, 63, 66), 1), metadata=None)",5252,1
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,23,22,"ActionCellId(tier=22, ordinal=2338)","(0, 0, 1)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(59, 63, 67), beat_index=2), identity=('counterpoint_symbolic_v001_state', (59, 63, 67), 2), metadata=None)",832,1
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,24,22,"ActionCellId(tier=22, ordinal=3271)","(1, 1, 2)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(60, 64, 69), beat_index=3), identity=('counterpoint_symbolic_v001_state', (60, 64, 69), 3), metadata=None)",75,22
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,25,22,"ActionCellId(tier=22, ordinal=2301)","(-1, -1, -1)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(59, 63, 68), beat_index=0), identity=('counterpoint_symbolic_v001_state', (59, 63, 68), 0), metadata=None)",832,2
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,27,22,"ActionCellId(tier=22, ordinal=3236)","(-2, -2, -2)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(57, 61, 66), beat_index=1), identity=('counterpoint_symbolic_v001_state', (57, 61, 66), 1), metadata=None)",75,19
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,28,22,"ActionCellId(tier=22, ordinal=2375)","(2, 2, 1)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(59, 63, 67), beat_index=2), identity=('counterpoint_symbolic_v001_state', (59, 63, 67), 2), metadata=None)",832,2
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,30,21,"ActionCellId(tier=21, ordinal=4338)","(0, 0, 1)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(59, 63, 68), beat_index=3), identity=('counterpoint_symbolic_v001_state', (59, 63, 68), 3), metadata=None)",75,22
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,0,32,21,"ActionCellId(tier=21, ordinal=3395)","(0, 0, -2)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(59, 63, 66), beat_index=0), identity=('counterpoint_symbolic_v001_state', (59, 63, 66), 0), metadata=None)",871,3
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,4,4,"ActionCellId(tier=4, ordinal=234966)","(-1, -1, -2)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(59, 63, 66), beat_index=1), identity=('counterpoint_symbolic_v001_state', (59, 63, 66), 1), metadata=None)",5252,1
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,23,22,"ActionCellId(tier=22, ordinal=2338)","(0, 0, 1)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(59, 63, 67), beat_index=2), identity=('counterpoint_symbolic_v001_state', (59, 63, 67), 2), metadata=None)",832,1
counterpoint_small_paired_replicate_probe_v001,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_small_paired_replicate_probe,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_wide_20_108_span18_v001-p001_over_018-schema0,counterpoint_symbolic_n3_wide_20_108_span18_v001,p001_over_018,0,seed-7fe8666539580bdb,0,1,24,22,"ActionCellId(tier=22, ordinal=3253)","(0, 0, -1)",1,True,,,state_collapser_v072_pointwise,1,1,0,True,"State(payload=CounterpointState(pitches=(59, 63, 66), beat_index=3), identity=('counterpoint_symbolic_v001_state', (59, 63, 66), 3), metadata=None)",75,22
