schema_id,schema_family_id,schema_seed,tier_index,action_cell_count,endpoint_pair_count,endpoint_coalescence_count,diagnostic_status
plate_support_schema_source_local_ratio_iterated_001_over_018_i032_v001,source_local_ratio_iterated,0,11,18,10,8,ok
plate_support_schema_plate_motion_actions_v001,action_category,0,not_applicable,0,0,0,not_supported
plate_support_schema_arm_extension_actions_v001,action_category,0,not_applicable,0,0,0,not_supported
plate_support_schema_motion_vs_support_actions_v001,action_category,0,not_applicable,0,0,0,not_supported
plate_support_schema_edge_global_noisy_rate_001_over_388_v001,edge_global_noisy_rate,0,not_applicable,0,0,0,not_supported
plate_support_schema_edge_global_noisy_rate_002_over_388_v001,edge_global_noisy_rate,0,not_applicable,0,0,0,not_supported
plate_support_schema_edge_global_noisy_rate_004_over_388_v001,edge_global_noisy_rate,0,not_applicable,0,0,0,not_supported
plate_support_schema_edge_global_noisy_rate_008_over_388_v001,edge_global_noisy_rate,0,not_applicable,0,0,0,not_supported
plate_support_schema_position_only_v001,geometry_coordinate,0,not_applicable,0,0,0,not_supported
plate_support_schema_orientation_only_v001,geometry_coordinate,0,not_applicable,0,0,0,not_supported
plate_support_schema_support_pattern_only_v001,geometry_coordinate,0,not_applicable,0,0,0,not_supported
plate_support_schema_reachability_pattern_only_v001,geometry_coordinate,0,not_applicable,0,0,0,not_supported
plate_support_schema_position_support_v001,geometry_coordinate,0,not_applicable,0,0,0,not_supported
plate_support_schema_full_single_block_v001,controlled_degeneracy,0,not_applicable,0,0,0,not_supported
plate_support_schema_source_local_one_drop_v001,controlled_degeneracy,0,not_applicable,0,0,0,not_supported
