evaluation_id,run_id,run_mode,candidate_group_id,schema_class_id,candidate_id,training_replicate_index,episode_window_start,episode_window_end,threshold_policy_id,threshold_value,threshold_hit_count,required_count,window_length,window_met,window_mean_total_reward,window_min_total_reward
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,0,0,4,counterpoint_total_space_sustained_reward_v001,12.0,0,4,5,False,2.4588888888888887,0.0
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,0,1,5,counterpoint_total_space_sustained_reward_v001,12.0,0,4,5,False,3.091111111111111,0.0
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,0,2,6,counterpoint_total_space_sustained_reward_v001,12.0,0,4,5,False,3.091111111111111,0.0
counterpoint_second_serious_schema_comparison_v001,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0-schema1_noisy_rate_one_drop-trainrep0,smoke_schema_comparison_first_sustained_hit,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,schema1_noisy_rate_one_drop,counterpoint_symbolic_n3_small_v001-p001_over_018-schema0,0,3,7,counterpoint_total_space_sustained_reward_v001,12.0,0,4,5,False,3.6883333333333335,0.0
